Complexity,Loss,Equation
1,70.72137903800211,"k = 0.4904151613886594"
3,62.049004612959656,"k = #3 + 0.46117548914476497"
5,42.45802871218088,"k = #1 / (#1 + 0.02727473229835406)"
7,38.780778840722306,"k = (#1 / (#1 + 0.02873132445011068)) + #4"
9,35.715579599910996,"k = (#1 * (0.7736762342906921 / (#1 + 0.016023437493478444))) + #4"
11,32.82576116864513,"k = ((#1 * 0.7714836553141754) + (#4 * #3)) / (#1 + 0.01615888666801072)"
13,30.88854052246942,"k = (((#1 * 0.7755984961255407) + (#4 * #3)) / (#1 + 0.015116635796544127)) - #2"
15,28.808210468642564,"k = (#1 / (#1 + 0.02107667253983011)) + (#3 - (#1 / ((#2 * -10.425003623152854) - -0.4740316500797511)))"
17,26.166719677356284,"k = (((#4 * #3) + #1) / (#1 + 0.020617728674366266)) - (#1 / ((#2 * -12.166251028890596) - -0.5412483539587981))"
19,25.822076954899185,"k = (((#1 + (#4 * #3)) / (#1 + 0.025461147430055866)) - (#1 / ((#2 * -7.372002363469811) - -0.3799579099797837))) / 0.8435199355504586"
21,25.341754051477476,"k = ((#1 + ((#4 * 1.288870550883149) * #3)) / (#1 + 0.020593419993008278)) - (#1 / ((#2 * -11.351541716234681) - (#4 + -0.5247947431167114)))"
23,24.438319481572947,"k = (((((#4 * #3) * 1.4556083118929766) + #1) / (#1 + 0.03534525481392913)) - (#1 / (((#2 * -3.3296259350486324) - -0.2662706427052917) - #4))) / 0.6216437878517602"
25,23.67651424762957,"k = (((((#3 * #4) + (#1 * 0.7255249454997224)) / (#1 + 0.05613203346913032)) - (#1 / (((#2 * -4.63061940782908) - -0.34735194721509727) - #4))) + #2) / 0.30726057360217846"
27,23.215288370909185,"k = ((#2 + (((#1 + (#4 * #3)) / (#1 + 0.12240977169269092)) - (#1 / (((#2 * -2.783741225579633) - -0.2872519391038108) - #4)))) + #4) / (#4 + 0.17606469491005242)"
29,23.177621219926138,"k = (((#4 + #2) - (#1 / (((#2 * -2.9118605992254576) - -0.2857996232264682) - #4))) + (((#1 * 0.9408236979066286) + (#3 * #4)) / (#1 + 0.1024194552312511))) / (#4 + 0.20444173714827563)"
