in,x,y,qc,tc,tr,te,tl
2,11.0,67.0,19.0,0.0,0.0,0.0,0.0
3,52.0,96.0,2.0,0.0,0.0,0.0,0.0
4,81.0,29.0,12.0,0.0,0.0,0.0,0.0
5,97.0,62.0,20.0,0.0,0.0,0.0,0.0
6,71.0,5.0,6.0,0.0,0.0,0.0,0.0
7,6.0,56.0,17.0,0.0,0.0,0.0,0.0
8,48.0,50.0,8.0,0.0,0.0,0.0,0.0
9,91.0,17.0,14.0,0.0,0.0,0.0,0.0
10,49.0,68.0,2.0,0.0,0.0,0.0,0.0
11,85.0,29.0,8.0,0.0,0.0,0.0,0.0
12,11.0,16.0,5.0,0.0,0.0,0.0,0.0
13,74.0,98.0,7.0,0.0,0.0,0.0,0.0
14,56.0,37.0,22.0,0.0,0.0,0.0,0.0
15,13.0,81.0,14.0,0.0,0.0,0.0,0.0
16,66.0,80.0,17.0,0.0,0.0,0.0,0.0
17,96.0,55.0,23.0,0.0,0.0,0.0,0.0
18,36.0,17.0,15.0,0.0,0.0,0.0,0.0
19,32.0,23.0,21.0,0.0,0.0,0.0,0.0
20,6.0,13.0,2.0,0.0,0.0,0.0,0.0
21,64.0,30.0,24.0,0.0,0.0,0.0,0.0
22,87.0,5.0,10.0,0.0,0.0,0.0,0.0
23,75.0,61.0,20.0,0.0,0.0,0.0,0.0
24,40.0,72.0,6.0,0.0,0.0,0.0,0.0
25,1.0,44.0,21.0,0.0,0.0,0.0,0.0
26,60.0,95.0,10.0,0.0,0.0,0.0,0.0
27,27.0,49.0,6.0,0.0,0.0,0.0,0.0
28,15.0,33.0,13.0,0.0,0.0,0.0,0.0
29,46.0,53.0,21.0,0.0,0.0,0.0,0.0
30,28.0,43.0,24.0,0.0,0.0,0.0,0.0
31,3.0,9.0,11.0,0.0,0.0,0.0,0.0
32,1.0,100.0,16.0,0.0,0.0,0.0,0.0
33,53.0,46.0,8.0,0.0,0.0,0.0,0.0
34,98.0,8.0,11.0,0.0,0.0,0.0,0.0
35,6.0,25.0,11.0,0.0,0.0,0.0,0.0
36,7.0,81.0,22.0,0.0,0.0,0.0,0.0
37,96.0,88.0,17.0,0.0,0.0,0.0,0.0
38,2.0,35.0,22.0,0.0,0.0,0.0,0.0
39,32.0,94.0,17.0,0.0,0.0,0.0,0.0
40,95.0,94.0,8.0,0.0,0.0,0.0,0.0
41,9.0,11.0,23.0,0.0,0.0,0.0,0.0
42,96.0,16.0,5.0,0.0,0.0,0.0,0.0
43,90.0,68.0,3.0,0.0,0.0,0.0,0.0
44,33.0,31.0,18.0,0.0,0.0,0.0,0.0
45,6.0,59.0,12.0,0.0,0.0,0.0,0.0
