in,x,y,qc,tc,tr,te,tl
2,59.0,1.0,21.0,0.0,0.0,0.0,0.0
3,17.0,83.0,8.0,0.0,0.0,0.0,0.0
4,85.0,57.0,11.0,0.0,0.0,0.0,0.0
5,47.0,21.0,7.0,0.0,0.0,0.0,0.0
6,1.0,21.0,21.0,0.0,0.0,0.0,0.0
7,25.0,69.0,5.0,0.0,0.0,0.0,0.0
8,75.0,63.0,13.0,0.0,0.0,0.0,0.0
9,3.0,7.0,10.0,0.0,0.0,0.0,0.0
10,56.0,26.0,9.0,0.0,0.0,0.0,0.0
11,86.0,58.0,20.0,0.0,0.0,0.0,0.0
12,8.0,8.0,7.0,0.0,0.0,0.0,0.0
13,59.0,27.0,12.0,0.0,0.0,0.0,0.0
14,64.0,2.0,23.0,0.0,0.0,0.0,0.0
15,86.0,64.0,2.0,0.0,0.0,0.0,0.0
16,28.0,72.0,4.0,0.0,0.0,0.0,0.0
17,88.0,58.0,14.0,0.0,0.0,0.0,0.0
18,18.0,90.0,12.0,0.0,0.0,0.0,0.0
19,82.0,64.0,3.0,0.0,0.0,0.0,0.0
20,22.0,92.0,5.0,0.0,0.0,0.0,0.0
21,6.0,10.0,13.0,0.0,0.0,0.0,0.0
22,10.0,24.0,5.0,0.0,0.0,0.0,0.0
23,59.0,29.0,12.0,0.0,0.0,0.0,0.0
24,52.0,24.0,2.0,0.0,0.0,0.0,0.0
25,94.0,62.0,3.0,0.0,0.0,0.0,0.0
26,76.0,68.0,18.0,0.0,0.0,0.0,0.0
27,66.0,2.0,24.0,0.0,0.0,0.0,0.0
28,90.0,58.0,4.0,0.0,0.0,0.0,0.0
29,20.0,84.0,63.0,0.0,0.0,0.0,0.0
30,50.0,22.0,19.0,0.0,0.0,0.0,0.0
31,76.0,64.0,2.0,0.0,0.0,0.0,0.0
32,63.0,33.0,9.0,0.0,0.0,0.0,0.0
33,20.0,84.0,4.0,0.0,0.0,0.0,0.0
34,59.0,31.0,9.0,0.0,0.0,0.0,0.0
35,32.0,74.0,23.0,0.0,0.0,0.0,0.0
36,48.0,24.0,6.0,0.0,0.0,0.0,0.0
37,2.0,30.0,3.0,0.0,0.0,0.0,0.0
38,10.0,8.0,12.0,0.0,0.0,0.0,0.0
39,57.0,27.0,7.0,0.0,0.0,0.0,0.0
40,68.0,6.0,17.0,0.0,0.0,0.0,0.0
41,28.0,74.0,22.0,0.0,0.0,0.0,0.0
42,63.0,35.0,26.0,0.0,0.0,0.0,0.0
43,86.0,58.0,14.0,0.0,0.0,0.0,0.0
44,90.0,62.0,9.0,0.0,0.0,0.0,0.0
45,22.0,90.0,2.0,0.0,0.0,0.0,0.0
46,6.0,28.0,16.0,0.0,0.0,0.0,0.0
47,62.0,8.0,24.0,0.0,0.0,0.0,0.0
48,59.0,35.0,4.0,0.0,0.0,0.0,0.0
49,18.0,88.0,19.0,0.0,0.0,0.0,0.0
50,30.0,76.0,11.0,0.0,0.0,0.0,0.0
