in,x,y,qc,tc,tr,te,tl
2,37.0,52.0,7.0,0.0,0.0,0.0,0.0
3,49.0,49.0,30.0,0.0,0.0,0.0,0.0
4,52.0,64.0,16.0,0.0,0.0,0.0,0.0
5,20.0,26.0,9.0,0.0,0.0,0.0,0.0
6,40.0,30.0,21.0,0.0,0.0,0.0,0.0
7,21.0,47.0,15.0,0.0,0.0,0.0,0.0
8,17.0,63.0,19.0,0.0,0.0,0.0,0.0
9,31.0,62.0,23.0,0.0,0.0,0.0,0.0
10,52.0,33.0,11.0,0.0,0.0,0.0,0.0
11,51.0,21.0,5.0,0.0,0.0,0.0,0.0
12,42.0,41.0,19.0,0.0,0.0,0.0,0.0
13,31.0,32.0,29.0,0.0,0.0,0.0,0.0
14,5.0,25.0,23.0,0.0,0.0,0.0,0.0
15,12.0,42.0,21.0,0.0,0.0,0.0,0.0
16,36.0,16.0,10.0,0.0,0.0,0.0,0.0
17,52.0,41.0,15.0,0.0,0.0,0.0,0.0
18,27.0,23.0,3.0,0.0,0.0,0.0,0.0
19,17.0,33.0,41.0,0.0,0.0,0.0,0.0
20,13.0,13.0,9.0,0.0,0.0,0.0,0.0
21,57.0,58.0,28.0,0.0,0.0,0.0,0.0
22,62.0,42.0,8.0,0.0,0.0,0.0,0.0
23,42.0,57.0,8.0,0.0,0.0,0.0,0.0
24,16.0,57.0,16.0,0.0,0.0,0.0,0.0
25,8.0,52.0,10.0,0.0,0.0,0.0,0.0
26,7.0,38.0,28.0,0.0,0.0,0.0,0.0
27,27.0,68.0,7.0,0.0,0.0,0.0,0.0
28,30.0,48.0,15.0,0.0,0.0,0.0,0.0
29,43.0,67.0,14.0,0.0,0.0,0.0,0.0
30,58.0,48.0,6.0,0.0,0.0,0.0,0.0
31,58.0,27.0,19.0,0.0,0.0,0.0,0.0
32,37.0,69.0,11.0,0.0,0.0,0.0,0.0
33,38.0,46.0,12.0,0.0,0.0,0.0,0.0
34,46.0,10.0,23.0,0.0,0.0,0.0,0.0
35,61.0,33.0,26.0,0.0,0.0,0.0,0.0
36,62.0,63.0,17.0,0.0,0.0,0.0,0.0
37,63.0,69.0,6.0,0.0,0.0,0.0,0.0
38,32.0,22.0,9.0,0.0,0.0,0.0,0.0
39,45.0,35.0,15.0,0.0,0.0,0.0,0.0
40,59.0,15.0,14.0,0.0,0.0,0.0,0.0
41,5.0,6.0,7.0,0.0,0.0,0.0,0.0
42,10.0,17.0,27.0,0.0,0.0,0.0,0.0
43,21.0,10.0,13.0,0.0,0.0,0.0,0.0
44,5.0,64.0,11.0,0.0,0.0,0.0,0.0
45,30.0,15.0,16.0,0.0,0.0,0.0,0.0
46,39.0,10.0,10.0,0.0,0.0,0.0,0.0
47,32.0,39.0,5.0,0.0,0.0,0.0,0.0
48,25.0,32.0,25.0,0.0,0.0,0.0,0.0
49,25.0,55.0,17.0,0.0,0.0,0.0,0.0
50,48.0,28.0,18.0,0.0,0.0,0.0,0.0
51,56.0,37.0,10.0,0.0,0.0,0.0,0.0
52,41.0,49.0,10.0,0.0,0.0,0.0,0.0
53,35.0,17.0,7.0,0.0,0.0,0.0,0.0
54,55.0,45.0,13.0,0.0,0.0,0.0,0.0
55,55.0,20.0,19.0,0.0,0.0,0.0,0.0
56,15.0,30.0,26.0,0.0,0.0,0.0,0.0
57,25.0,30.0,3.0,0.0,0.0,0.0,0.0
58,20.0,50.0,5.0,0.0,0.0,0.0,0.0
59,10.0,43.0,9.0,0.0,0.0,0.0,0.0
60,55.0,60.0,16.0,0.0,0.0,0.0,0.0
61,30.0,60.0,16.0,0.0,0.0,0.0,0.0
62,20.0,65.0,12.0,0.0,0.0,0.0,0.0
63,50.0,35.0,19.0,0.0,0.0,0.0,0.0
64,30.0,25.0,23.0,0.0,0.0,0.0,0.0
65,15.0,10.0,20.0,0.0,0.0,0.0,0.0
66,30.0,5.0,8.0,0.0,0.0,0.0,0.0
67,10.0,20.0,19.0,0.0,0.0,0.0,0.0
68,5.0,30.0,2.0,0.0,0.0,0.0,0.0
69,20.0,40.0,12.0,0.0,0.0,0.0,0.0
70,15.0,60.0,17.0,0.0,0.0,0.0,0.0
71,45.0,65.0,9.0,0.0,0.0,0.0,0.0
72,45.0,20.0,11.0,0.0,0.0,0.0,0.0
73,45.0,10.0,18.0,0.0,0.0,0.0,0.0
74,55.0,5.0,29.0,0.0,0.0,0.0,0.0
75,65.0,35.0,3.0,0.0,0.0,0.0,0.0
76,65.0,20.0,6.0,0.0,0.0,0.0,0.0
77,45.0,30.0,17.0,0.0,0.0,0.0,0.0
78,35.0,40.0,16.0,0.0,0.0,0.0,0.0
79,41.0,37.0,16.0,0.0,0.0,0.0,0.0
80,64.0,42.0,9.0,0.0,0.0,0.0,0.0
81,40.0,60.0,21.0,0.0,0.0,0.0,0.0
82,31.0,52.0,27.0,0.0,0.0,0.0,0.0
83,35.0,69.0,23.0,0.0,0.0,0.0,0.0
84,53.0,52.0,11.0,0.0,0.0,0.0,0.0
85,65.0,55.0,14.0,0.0,0.0,0.0,0.0
86,63.0,65.0,8.0,0.0,0.0,0.0,0.0
87,2.0,60.0,5.0,0.0,0.0,0.0,0.0
88,20.0,20.0,8.0,0.0,0.0,0.0,0.0
89,5.0,5.0,16.0,0.0,0.0,0.0,0.0
90,60.0,12.0,31.0,0.0,0.0,0.0,0.0
91,40.0,25.0,9.0,0.0,0.0,0.0,0.0
92,42.0,7.0,5.0,0.0,0.0,0.0,0.0
93,24.0,12.0,5.0,0.0,0.0,0.0,0.0
94,23.0,3.0,7.0,0.0,0.0,0.0,0.0
95,11.0,14.0,18.0,0.0,0.0,0.0,0.0
96,6.0,38.0,16.0,0.0,0.0,0.0,0.0
97,2.0,48.0,1.0,0.0,0.0,0.0,0.0
98,8.0,56.0,27.0,0.0,0.0,0.0,0.0
99,13.0,52.0,36.0,0.0,0.0,0.0,0.0
100,6.0,68.0,30.0,0.0,0.0,0.0,0.0
101,47.0,47.0,13.0,0.0,0.0,0.0,0.0
102,49.0,58.0,10.0,0.0,0.0,0.0,0.0
103,27.0,43.0,9.0,0.0,0.0,0.0,0.0
104,37.0,31.0,14.0,0.0,0.0,0.0,0.0
105,57.0,29.0,18.0,0.0,0.0,0.0,0.0
106,63.0,23.0,2.0,0.0,0.0,0.0,0.0
107,53.0,12.0,6.0,0.0,0.0,0.0,0.0
108,32.0,12.0,7.0,0.0,0.0,0.0,0.0
109,36.0,26.0,18.0,0.0,0.0,0.0,0.0
110,21.0,24.0,28.0,0.0,0.0,0.0,0.0
111,17.0,34.0,3.0,0.0,0.0,0.0,0.0
112,12.0,24.0,13.0,0.0,0.0,0.0,0.0
113,24.0,58.0,19.0,0.0,0.0,0.0,0.0
114,27.0,69.0,10.0,0.0,0.0,0.0,0.0
115,15.0,77.0,9.0,0.0,0.0,0.0,0.0
116,62.0,77.0,20.0,0.0,0.0,0.0,0.0
117,49.0,73.0,25.0,0.0,0.0,0.0,0.0
118,67.0,5.0,25.0,0.0,0.0,0.0,0.0
119,56.0,39.0,36.0,0.0,0.0,0.0,0.0
120,37.0,47.0,6.0,0.0,0.0,0.0,0.0
121,37.0,56.0,5.0,0.0,0.0,0.0,0.0
122,57.0,68.0,15.0,0.0,0.0,0.0,0.0
123,47.0,16.0,25.0,0.0,0.0,0.0,0.0
124,44.0,17.0,9.0,0.0,0.0,0.0,0.0
125,46.0,13.0,8.0,0.0,0.0,0.0,0.0
126,49.0,11.0,18.0,0.0,0.0,0.0,0.0
127,49.0,42.0,13.0,0.0,0.0,0.0,0.0
128,53.0,43.0,14.0,0.0,0.0,0.0,0.0
129,61.0,52.0,3.0,0.0,0.0,0.0,0.0
130,57.0,48.0,23.0,0.0,0.0,0.0,0.0
131,56.0,37.0,6.0,0.0,0.0,0.0,0.0
132,55.0,54.0,26.0,0.0,0.0,0.0,0.0
133,15.0,47.0,16.0,0.0,0.0,0.0,0.0
134,14.0,37.0,11.0,0.0,0.0,0.0,0.0
135,11.0,31.0,7.0,0.0,0.0,0.0,0.0
136,16.0,22.0,41.0,0.0,0.0,0.0,0.0
137,4.0,18.0,35.0,0.0,0.0,0.0,0.0
138,28.0,18.0,26.0,0.0,0.0,0.0,0.0
139,26.0,52.0,9.0,0.0,0.0,0.0,0.0
140,26.0,35.0,15.0,0.0,0.0,0.0,0.0
141,31.0,67.0,3.0,0.0,0.0,0.0,0.0
142,15.0,19.0,1.0,0.0,0.0,0.0,0.0
143,22.0,22.0,2.0,0.0,0.0,0.0,0.0
144,18.0,24.0,22.0,0.0,0.0,0.0,0.0
145,26.0,27.0,27.0,0.0,0.0,0.0,0.0
146,25.0,24.0,20.0,0.0,0.0,0.0,0.0
147,22.0,27.0,11.0,0.0,0.0,0.0,0.0
148,25.0,21.0,12.0,0.0,0.0,0.0,0.0
149,19.0,21.0,10.0,0.0,0.0,0.0,0.0
150,20.0,26.0,9.0,0.0,0.0,0.0,0.0
151,18.0,18.0,17.0,0.0,0.0,0.0,0.0
