in,x,y,qc,tc,tr,te,tl
2,37.0,52.0,7.0,0.0,0.0,0.0,0.0
3,49.0,49.0,30.0,0.0,0.0,0.0,0.0
4,52.0,64.0,16.0,0.0,0.0,0.0,0.0
5,20.0,26.0,9.0,0.0,0.0,0.0,0.0
6,40.0,30.0,21.0,0.0,0.0,0.0,0.0
7,21.0,47.0,15.0,0.0,0.0,0.0,0.0
8,17.0,63.0,19.0,0.0,0.0,0.0,0.0
9,31.0,62.0,23.0,0.0,0.0,0.0,0.0
10,52.0,33.0,11.0,0.0,0.0,0.0,0.0
11,51.0,21.0,5.0,0.0,0.0,0.0,0.0
12,42.0,41.0,19.0,0.0,0.0,0.0,0.0
13,31.0,32.0,29.0,0.0,0.0,0.0,0.0
14,5.0,25.0,23.0,0.0,0.0,0.0,0.0
15,12.0,42.0,21.0,0.0,0.0,0.0,0.0
16,36.0,16.0,10.0,0.0,0.0,0.0,0.0
17,52.0,41.0,15.0,0.0,0.0,0.0,0.0
18,27.0,23.0,3.0,0.0,0.0,0.0,0.0
19,17.0,33.0,41.0,0.0,0.0,0.0,0.0
20,13.0,13.0,9.0,0.0,0.0,0.0,0.0
21,57.0,58.0,28.0,0.0,0.0,0.0,0.0
22,62.0,42.0,8.0,0.0,0.0,0.0,0.0
23,42.0,57.0,8.0,0.0,0.0,0.0,0.0
24,16.0,57.0,16.0,0.0,0.0,0.0,0.0
25,8.0,52.0,10.0,0.0,0.0,0.0,0.0
26,7.0,38.0,28.0,0.0,0.0,0.0,0.0
27,27.0,68.0,7.0,0.0,0.0,0.0,0.0
28,30.0,48.0,15.0,0.0,0.0,0.0,0.0
29,43.0,67.0,14.0,0.0,0.0,0.0,0.0
30,58.0,48.0,6.0,0.0,0.0,0.0,0.0
31,58.0,27.0,19.0,0.0,0.0,0.0,0.0
32,37.0,69.0,11.0,0.0,0.0,0.0,0.0
33,38.0,46.0,12.0,0.0,0.0,0.0,0.0
34,46.0,10.0,23.0,0.0,0.0,0.0,0.0
35,61.0,33.0,26.0,0.0,0.0,0.0,0.0
36,62.0,63.0,17.0,0.0,0.0,0.0,0.0
37,63.0,69.0,6.0,0.0,0.0,0.0,0.0
38,32.0,22.0,9.0,0.0,0.0,0.0,0.0
39,45.0,35.0,15.0,0.0,0.0,0.0,0.0
40,59.0,15.0,14.0,0.0,0.0,0.0,0.0
41,5.0,6.0,7.0,0.0,0.0,0.0,0.0
42,10.0,17.0,27.0,0.0,0.0,0.0,0.0
43,21.0,10.0,13.0,0.0,0.0,0.0,0.0
44,5.0,64.0,11.0,0.0,0.0,0.0,0.0
45,30.0,15.0,16.0,0.0,0.0,0.0,0.0
46,39.0,10.0,10.0,0.0,0.0,0.0,0.0
47,32.0,39.0,5.0,0.0,0.0,0.0,0.0
48,25.0,32.0,25.0,0.0,0.0,0.0,0.0
49,25.0,55.0,17.0,0.0,0.0,0.0,0.0
50,48.0,28.0,18.0,0.0,0.0,0.0,0.0
51,56.0,37.0,10.0,0.0,0.0,0.0,0.0
