in,x,y,qc,tc,tr,te,tl
2,3.2,5.1,30.0,0.0,0.0,0.0,0.0
3,24.6,8.3,226.0,0.0,0.0,0.0,0.0
4,23.3,1.3,37.0,0.0,0.0,0.0,0.0
5,27.8,8.3,24.0,0.0,0.0,0.0,0.0
6,29.0,8.0,36.0,0.0,0.0,0.0,0.0
7,31.0,8.0,1.0,0.0,0.0,0.0,0.0
8,33.5,10.5,31.0,0.0,0.0,0.0,0.0
9,30.0,10.5,24.0,0.0,0.0,0.0,0.0
10,29.0,10.0,30.0,0.0,0.0,0.0,0.0
11,26.5,11.7,24.0,0.0,0.0,0.0,0.0
12,28.3,14.3,24.0,0.0,0.0,0.0,0.0
13,27.0,14.3,32.0,0.0,0.0,0.0,0.0
14,23.5,19.0,24.0,0.0,0.0,0.0,0.0
15,26.0,20.0,24.0,0.0,0.0,0.0,0.0
16,25.0,20.0,19.0,0.0,0.0,0.0,0.0
17,20.5,19.0,24.0,0.0,0.0,0.0,0.0
18,-20.0,13.0,18.0,0.0,0.0,0.0,0.0
19,-21.0,14.0,36.0,0.0,0.0,0.0,0.0
20,-30.0,30.0,115.0,0.0,0.0,0.0,0.0
21,-5.0,30.0,24.0,0.0,0.0,0.0,0.0
22,1.3,17.8,24.0,0.0,0.0,0.0,0.0
23,1.8,13.8,61.0,0.0,0.0,0.0,0.0
24,1.8,13.1,71.0,0.0,0.0,0.0,0.0
25,2.0,13.6,36.0,0.0,0.0,0.0,0.0
26,4.8,17.0,18.0,0.0,0.0,0.0,0.0
27,7.0,15.0,30.0,0.0,0.0,0.0,0.0
28,9.8,16.6,31.0,0.0,0.0,0.0,0.0
29,11.4,14.5,36.0,0.0,0.0,0.0,0.0
30,14.4,11.3,18.0,0.0,0.0,0.0,0.0
31,11.0,12.0,1004.0,0.0,0.0,0.0,0.0
32,9.3,10.7,18.0,0.0,0.0,0.0,0.0
33,0.6,2.8,34.0,0.0,0.0,0.0,0.0
34,-30.0,-10.0,504.0,0.0,0.0,0.0,0.0
35,2.0,0.0,18.0,0.0,0.0,0.0,0.0
36,14.5,1.0,39.0,0.0,0.0,0.0,0.0
37,15.0,1.8,24.0,0.0,0.0,0.0,0.0
38,17.2,2.4,37.0,0.0,0.0,0.0,0.0
39,17.2,4.2,24.0,0.0,0.0,0.0,0.0
40,18.2,4.4,99.0,0.0,0.0,0.0,0.0
41,20.3,2.1,24.0,0.0,0.0,0.0,0.0
42,22.8,3.1,24.0,0.0,0.0,0.0,0.0
43,23.0,4.0,36.0,0.0,0.0,0.0,0.0
44,20.8,4.0,30.0,0.0,0.0,0.0,0.0
45,20.8,4.0,25.0,0.0,0.0,0.0,0.0
46,18.5,6.4,24.0,0.0,0.0,0.0,0.0
47,-14.0,16.0,122.0,0.0,0.0,0.0,0.0
48,-0.5,6.9,196.0,0.0,0.0,0.0,0.0
49,3.2,2.8,229.0,0.0,0.0,0.0,0.0
50,5.6,1.8,83.0,0.0,0.0,0.0,0.0
51,8.7,2.8,18.0,0.0,0.0,0.0,0.0
52,9.0,3.3,24.0,0.0,0.0,0.0,0.0
53,9.0,3.5,306.0,0.0,0.0,0.0,0.0
54,11.2,3.3,18.0,0.0,0.0,0.0,0.0
55,10.8,4.7,20.0,0.0,0.0,0.0,0.0
56,11.5,4.6,18.0,0.0,0.0,0.0,0.0
57,12.3,4.7,24.0,0.0,0.0,0.0,0.0
58,12.3,5.5,22.0,0.0,0.0,0.0,0.0
59,11.2,6.9,24.0,0.0,0.0,0.0,0.0
60,6.5,9.7,18.0,0.0,0.0,0.0,0.0
61,5.8,8.5,18.0,0.0,0.0,0.0,0.0
62,7.2,6.0,24.0,0.0,0.0,0.0,0.0
63,7.2,4.0,24.0,0.0,0.0,0.0,0.0
64,-4.0,-4.0,30.0,0.0,0.0,0.0,0.0
65,-3.0,1.2,24.0,0.0,0.0,0.0,0.0
66,-40.0,49.0,40.0,0.0,0.0,0.0,0.0
67,-15.0,10.0,166.0,0.0,0.0,0.0,0.0
68,-11.0,-10.0,254.0,0.0,0.0,0.0,0.0
69,-25.0,-20.0,187.0,0.0,0.0,0.0,0.0
70,-25.0,-35.0,94.0,0.0,0.0,0.0,0.0
71,-24.0,-35.0,17.0,0.0,0.0,0.0,0.0
72,-18.0,10.0,285.0,0.0,0.0,0.0,0.0
73,-2.0,10.0,24.0,0.0,0.0,0.0,0.0
74,-4.0,8.0,24.0,0.0,0.0,0.0,0.0
75,-3.0,5.0,205.0,0.0,0.0,0.0,0.0
76,2.1,6.2,23.0,0.0,0.0,0.0,0.0
77,-1.7,3.0,28.0,0.0,0.0,0.0,0.0
78,-3.0,2.0,51.0,0.0,0.0,0.0,0.0
79,-7.0,0.0,49.0,0.0,0.0,0.0,0.0
80,-3.0,-6.0,19.0,0.0,0.0,0.0,0.0
81,-30.0,-11.0,262.0,0.0,0.0,0.0,0.0
82,-62.0,-10.0,120.0,0.0,0.0,0.0,0.0
83,-8.0,30.0,266.0,0.0,0.0,0.0,0.0
84,1.0,60.0,704.0,0.0,0.0,0.0,0.0
85,10.0,52.0,38.0,0.0,0.0,0.0,0.0
86,10.0,52.0,18.0,0.0,0.0,0.0,0.0
87,10.0,51.0,30.0,0.0,0.0,0.0,0.0
88,16.0,29.0,25.0,0.0,0.0,0.0,0.0
89,26.0,21.0,12.0,0.0,0.0,0.0,0.0
90,16.0,21.0,18.0,0.0,0.0,0.0,0.0
91,15.5,19.2,25.0,0.0,0.0,0.0,0.0
92,0.0,16.5,35.0,0.0,0.0,0.0,0.0
93,17.2,14.3,18.0,0.0,0.0,0.0,0.0
94,16.5,7.8,12.0,0.0,0.0,0.0,0.0
95,16.9,7.7,20.0,0.0,0.0,0.0,0.0
96,18.0,2.0,1126.0,0.0,0.0,0.0,0.0
97,16.2,4.0,9.0,0.0,0.0,0.0,0.0
98,15.0,4.0,36.0,0.0,0.0,0.0,0.0
99,15.0,3.0,12.0,0.0,0.0,0.0,0.0
100,14.8,2.4,31.0,0.0,0.0,0.0,0.0
101,14.5,3.0,96.0,0.0,0.0,0.0,0.0
102,13.0,2.6,27.0,0.0,0.0,0.0,0.0
103,11.8,3.0,54.0,0.0,0.0,0.0,0.0
104,12.0,4.0,137.0,0.0,0.0,0.0,0.0
105,12.8,3.6,12.0,0.0,0.0,0.0,0.0
106,13.4,5.5,58.0,0.0,0.0,0.0,0.0
107,-150.0,8.0,206.0,0.0,0.0,0.0,0.0
108,-152.0,1.0,178.0,0.0,0.0,0.0,0.0
109,-152.0,0.0,486.0,0.0,0.0,0.0,0.0
110,-142.0,-31.0,36.0,0.0,0.0,0.0,0.0
111,-78.0,-19.0,261.0,0.0,0.0,0.0,0.0
112,-78.0,-18.0,135.0,0.0,0.0,0.0,0.0
113,-78.0,-17.0,135.0,0.0,0.0,0.0,0.0
114,-80.0,-14.0,373.0,0.0,0.0,0.0,0.0
115,-118.0,22.0,535.0,0.0,0.0,0.0,0.0
116,-107.0,30.0,42.0,0.0,0.0,0.0,0.0
117,-85.0,14.0,9.0,0.0,0.0,0.0,0.0
118,-78.0,15.0,110.0,0.0,0.0,0.0,0.0
119,-15.0,16.0,36.0,0.0,0.0,0.0,0.0
120,-62.0,32.0,18.0,0.0,0.0,0.0,0.0
121,-120.0,-20.0,726.0,0.0,0.0,0.0,0.0
122,-90.0,-22.0,187.0,0.0,0.0,0.0,0.0
123,-79.0,-19.0,23.0,0.0,0.0,0.0,0.0
124,-79.0,-18.5,134.0,0.0,0.0,0.0,0.0
125,-79.0,-18.0,47.0,0.0,0.0,0.0,0.0
126,-78.0,-17.5,51.0,0.0,0.0,0.0,0.0
127,-79.0,-17.0,43.0,0.0,0.0,0.0,0.0
128,-80.0,-17.0,79.0,0.0,0.0,0.0,0.0
129,-80.0,-16.0,112.0,0.0,0.0,0.0,0.0
130,-80.0,-15.0,91.0,0.0,0.0,0.0,0.0
131,-48.0,37.0,232.0,0.0,0.0,0.0,0.0
132,-85.0,15.0,483.0,0.0,0.0,0.0,0.0
133,-62.0,-9.0,828.0,0.0,0.0,0.0,0.0
134,-15.0,-4.0,11.0,0.0,0.0,0.0,0.0
135,-1.0,3.2,12.0,0.0,0.0,0.0,0.0
