in,x,y,qc,tc,tr,te,tl
2,30.0,0.0,10.0,0.0,0.0,0.0,0.0
3,29.6946,4.2694,30.0,0.0,0.0,0.0,0.0
4,28.7848,8.452,30.0,0.0,0.0,0.0,0.0
5,27.289,12.4625,10.0,0.0,0.0,0.0,0.0
6,25.2376,16.2192,10.0,0.0,0.0,0.0,0.0
7,22.6725,19.6458,30.0,0.0,0.0,0.0,0.0
8,19.6458,22.6725,30.0,0.0,0.0,0.0,0.0
9,16.2192,25.2376,10.0,0.0,0.0,0.0,0.0
10,12.4624,27.289,10.0,0.0,0.0,0.0,0.0
11,8.452,28.7848,30.0,0.0,0.0,0.0,0.0
12,4.2694,29.6946,30.0,0.0,0.0,0.0,0.0
13,0.0,30.0,10.0,0.0,0.0,0.0,0.0
14,-4.2694,29.6946,10.0,0.0,0.0,0.0,0.0
15,-8.452,28.7848,30.0,0.0,0.0,0.0,0.0
16,-12.4625,27.289,30.0,0.0,0.0,0.0,0.0
17,-16.2192,25.2376,10.0,0.0,0.0,0.0,0.0
18,-19.6458,22.6725,10.0,0.0,0.0,0.0,0.0
19,-22.6725,19.6458,30.0,0.0,0.0,0.0,0.0
20,-25.2376,16.2192,30.0,0.0,0.0,0.0,0.0
21,-27.289,12.4624,10.0,0.0,0.0,0.0,0.0
22,-28.7848,8.452,10.0,0.0,0.0,0.0,0.0
23,-29.6946,4.2694,30.0,0.0,0.0,0.0,0.0
24,-30.0,0.0,30.0,0.0,0.0,0.0,0.0
25,-29.6946,-4.2694,10.0,0.0,0.0,0.0,0.0
26,-28.7848,-8.452,10.0,0.0,0.0,0.0,0.0
27,-27.289,-12.4625,30.0,0.0,0.0,0.0,0.0
28,-25.2376,-16.2192,30.0,0.0,0.0,0.0,0.0
29,-22.6725,-19.6458,10.0,0.0,0.0,0.0,0.0
30,-19.6458,-22.6725,10.0,0.0,0.0,0.0,0.0
31,-16.2192,-25.2376,30.0,0.0,0.0,0.0,0.0
32,-12.4624,-27.289,30.0,0.0,0.0,0.0,0.0
33,-8.452,-28.7848,10.0,0.0,0.0,0.0,0.0
34,-4.2694,-29.6946,10.0,0.0,0.0,0.0,0.0
35,0.0,-30.0,30.0,0.0,0.0,0.0,0.0
36,4.2694,-29.6946,30.0,0.0,0.0,0.0,0.0
37,8.452,-28.7848,10.0,0.0,0.0,0.0,0.0
38,12.4625,-27.289,10.0,0.0,0.0,0.0,0.0
39,16.2192,-25.2376,30.0,0.0,0.0,0.0,0.0
40,19.6458,-22.6725,30.0,0.0,0.0,0.0,0.0
41,22.6725,-19.6458,10.0,0.0,0.0,0.0,0.0
42,25.2376,-16.2192,10.0,0.0,0.0,0.0,0.0
43,27.289,-12.4624,30.0,0.0,0.0,0.0,0.0
44,28.7848,-8.452,30.0,0.0,0.0,0.0,0.0
45,29.6946,-4.2694,10.0,0.0,0.0,0.0,0.0
46,60.0,0.0,10.0,0.0,0.0,0.0,0.0
47,59.3893,8.5389,30.0,0.0,0.0,0.0,0.0
48,57.5696,16.904,30.0,0.0,0.0,0.0,0.0
49,54.5779,24.9249,10.0,0.0,0.0,0.0,0.0
50,50.4752,32.4384,10.0,0.0,0.0,0.0,0.0
51,45.345,39.2916,30.0,0.0,0.0,0.0,0.0
52,39.2916,45.345,30.0,0.0,0.0,0.0,0.0
53,32.4384,50.4752,10.0,0.0,0.0,0.0,0.0
54,24.9249,54.5779,10.0,0.0,0.0,0.0,0.0
55,16.904,57.5696,30.0,0.0,0.0,0.0,0.0
56,8.5389,59.3893,30.0,0.0,0.0,0.0,0.0
57,0.0,60.0,10.0,0.0,0.0,0.0,0.0
58,-8.5389,59.3893,10.0,0.0,0.0,0.0,0.0
59,-16.904,57.5696,30.0,0.0,0.0,0.0,0.0
60,-24.9249,54.5779,30.0,0.0,0.0,0.0,0.0
61,-32.4385,50.4752,10.0,0.0,0.0,0.0,0.0
62,-39.2916,45.345,10.0,0.0,0.0,0.0,0.0
63,-45.345,39.2916,30.0,0.0,0.0,0.0,0.0
64,-50.4752,32.4384,30.0,0.0,0.0,0.0,0.0
65,-54.5779,24.9249,10.0,0.0,0.0,0.0,0.0
66,-57.5696,16.9039,10.0,0.0,0.0,0.0,0.0
67,-59.3893,8.5389,30.0,0.0,0.0,0.0,0.0
68,-60.0,0.0,30.0,0.0,0.0,0.0,0.0
69,-59.3893,-8.5389,10.0,0.0,0.0,0.0,0.0
70,-57.5696,-16.904,10.0,0.0,0.0,0.0,0.0
71,-54.5779,-24.9249,30.0,0.0,0.0,0.0,0.0
72,-50.4752,-32.4385,30.0,0.0,0.0,0.0,0.0
73,-45.345,-39.2916,10.0,0.0,0.0,0.0,0.0
74,-39.2916,-45.345,10.0,0.0,0.0,0.0,0.0
75,-32.4384,-50.4752,30.0,0.0,0.0,0.0,0.0
76,-24.9249,-54.5779,30.0,0.0,0.0,0.0,0.0
77,-16.9039,-57.5696,10.0,0.0,0.0,0.0,0.0
78,-8.5389,-59.3893,10.0,0.0,0.0,0.0,0.0
79,0.0,-60.0,30.0,0.0,0.0,0.0,0.0
80,8.5389,-59.3893,30.0,0.0,0.0,0.0,0.0
81,16.904,-57.5696,10.0,0.0,0.0,0.0,0.0
82,24.9249,-54.5779,10.0,0.0,0.0,0.0,0.0
83,32.4385,-50.4752,30.0,0.0,0.0,0.0,0.0
