in,x,y,qc,tc,tr,te,tl
2,319.0,475,67.0,0.0,0.0,0.0,0.0
3,471.0,281,87.0,0.0,0.0,0.0,0.0
4,894.0,615,73.0,0.0,0.0,0.0,0.0
5,712.0,832,59.0,0.0,0.0,0.0,0.0
6,728.0,813,88.0,0.0,0.0,0.0,0.0
7,360.0,217,58.0,0.0,0.0,0.0,0.0
8,446.0,264,53.0,0.0,0.0,0.0,0.0
9,952.0,650,53.0,0.0,0.0,0.0,0.0
10,558.0,224,97.0,0.0,0.0,0.0,0.0
11,460.0,397,59.0,0.0,0.0,0.0,0.0
12,464.0,342,52.0,0.0,0.0,0.0,0.0
13,733.0,921,83.0,0.0,0.0,0.0,0.0
14,324.0,316,88.0,0.0,0.0,0.0,0.0
15,333.0,497,83.0,0.0,0.0,0.0,0.0
16,826.0,821,95.0,0.0,0.0,0.0,0.0
17,257.0,385,95.0,0.0,0.0,0.0,0.0
18,385.0,244,93.0,0.0,0.0,0.0,0.0
19,523.0,249,63.0,0.0,0.0,0.0,0.0
20,559.0,370,50.0,0.0,0.0,0.0,0.0
21,665.0,866,94.0,0.0,0.0,0.0,0.0
22,310.0,583,56.0,0.0,0.0,0.0,0.0
23,744.0,792,57.0,0.0,0.0,0.0,0.0
24,428.0,638,69.0,0.0,0.0,0.0,0.0
25,759.0,804,68.0,0.0,0.0,0.0,0.0
26,359.0,515,3.0,0.0,0.0,0.0,0.0
27,392.0,213,3.0,0.0,0.0,0.0,0.0
28,583.0,380,1.0,0.0,0.0,0.0,0.0
29,786.0,400,3.0,0.0,0.0,0.0,0.0
30,516.0,833,2.0,0.0,0.0,0.0,0.0
31,823.0,692,1.0,0.0,0.0,0.0,0.0
32,480.0,330,4.0,0.0,0.0,0.0,0.0
33,870.0,690,10.0,0.0,0.0,0.0,0.0
34,311.0,76,6.0,0.0,0.0,0.0,0.0
35,157.0,434,9.0,0.0,0.0,0.0,0.0
36,340.0,558,1.0,0.0,0.0,0.0,0.0
37,499.0,905,3.0,0.0,0.0,0.0,0.0
38,893.0,667,4.0,0.0,0.0,0.0,0.0
39,665.0,781,2.0,0.0,0.0,0.0,0.0
40,328.0,499,10.0,0.0,0.0,0.0,0.0
41,712.0,744,5.0,0.0,0.0,0.0,0.0
42,949.0,498,4.0,0.0,0.0,0.0,0.0
43,463.0,266,6.0,0.0,0.0,0.0,0.0
44,275.0,564,3.0,0.0,0.0,0.0,0.0
45,456.0,323,10.0,0.0,0.0,0.0,0.0
46,748.0,727,5.0,0.0,0.0,0.0,0.0
47,860.0,607,2.0,0.0,0.0,0.0,0.0
48,821.0,554,5.0,0.0,0.0,0.0,0.0
49,245.0,542,9.0,0.0,0.0,0.0,0.0
50,462.0,420,6.0,0.0,0.0,0.0,0.0
51,859.0,662,8.0,0.0,0.0,0.0,0.0
52,308.0,399,2.0,0.0,0.0,0.0,0.0
53,427.0,246,3.0,0.0,0.0,0.0,0.0
54,279.0,414,6.0,0.0,0.0,0.0,0.0
55,543.0,841,5.0,0.0,0.0,0.0,0.0
56,243.0,333,5.0,0.0,0.0,0.0,0.0
57,406.0,498,3.0,0.0,0.0,0.0,0.0
58,347.0,509,3.0,0.0,0.0,0.0,0.0
59,460.0,593,6.0,0.0,0.0,0.0,0.0
60,244.0,536,5.0,0.0,0.0,0.0,0.0
61,650.0,703,8.0,0.0,0.0,0.0,0.0
62,732.0,115,9.0,0.0,0.0,0.0,0.0
63,234.0,661,4.0,0.0,0.0,0.0,0.0
64,808.0,720,8.0,0.0,0.0,0.0,0.0
65,423.0,216,4.0,0.0,0.0,0.0,0.0
66,144.0,390,10.0,0.0,0.0,0.0,0.0
67,772.0,633,5.0,0.0,0.0,0.0,0.0
68,917.0,645,1.0,0.0,0.0,0.0,0.0
69,509.0,345,9.0,0.0,0.0,0.0,0.0
70,286.0,449,9.0,0.0,0.0,0.0,0.0
71,380.0,488,6.0,0.0,0.0,0.0,0.0
72,478.0,333,6.0,0.0,0.0,0.0,0.0
73,465.0,310,7.0,0.0,0.0,0.0,0.0
74,666.0,858,4.0,0.0,0.0,0.0,0.0
75,334.0,369,5.0,0.0,0.0,0.0,0.0
76,708.0,815,3.0,0.0,0.0,0.0,0.0
77,767.0,610,5.0,0.0,0.0,0.0,0.0
78,472.0,326,5.0,0.0,0.0,0.0,0.0
79,481.0,449,1.0,0.0,0.0,0.0,0.0
80,476.0,215,10.0,0.0,0.0,0.0,0.0
81,559.0,265,4.0,0.0,0.0,0.0,0.0
82,477.0,79,2.0,0.0,0.0,0.0,0.0
83,786.0,646,5.0,0.0,0.0,0.0,0.0
84,503.0,255,5.0,0.0,0.0,0.0,0.0
85,406.0,226,8.0,0.0,0.0,0.0,0.0
86,627.0,709,6.0,0.0,0.0,0.0,0.0
87,980.0,570,10.0,0.0,0.0,0.0,0.0
88,859.0,611,8.0,0.0,0.0,0.0,0.0
89,931.0,648,7.0,0.0,0.0,0.0,0.0
90,281.0,315,6.0,0.0,0.0,0.0,0.0
91,954.0,665,8.0,0.0,0.0,0.0,0.0
92,443.0,295,4.0,0.0,0.0,0.0,0.0
93,497.0,359,2.0,0.0,0.0,0.0,0.0
94,247.0,542,4.0,0.0,0.0,0.0,0.0
95,311.0,468,7.0,0.0,0.0,0.0,0.0
96,901.0,603,8.0,0.0,0.0,0.0,0.0
97,801.0,847,10.0,0.0,0.0,0.0,0.0
98,257.0,131,1.0,0.0,0.0,0.0,0.0
99,346.0,637,1.0,0.0,0.0,0.0,0.0
100,767.0,855,9.0,0.0,0.0,0.0,0.0
101,604.0,305,1.0,0.0,0.0,0.0,0.0
102,436.0,206,7.0,0.0,0.0,0.0,0.0
103,277.0,345,9.0,0.0,0.0,0.0,0.0
104,428.0,257,10.0,0.0,0.0,0.0,0.0
105,405.0,530,1.0,0.0,0.0,0.0,0.0
106,892.0,802,2.0,0.0,0.0,0.0,0.0
107,341.0,663,10.0,0.0,0.0,0.0,0.0
108,856.0,527,3.0,0.0,0.0,0.0,0.0
109,539.0,861,6.0,0.0,0.0,0.0,0.0
110,359.0,298,9.0,0.0,0.0,0.0,0.0
111,775.0,869,5.0,0.0,0.0,0.0,0.0
112,875.0,642,8.0,0.0,0.0,0.0,0.0
113,610.0,772,9.0,0.0,0.0,0.0,0.0
114,867.0,658,9.0,0.0,0.0,0.0,0.0
115,677.0,832,7.0,0.0,0.0,0.0,0.0
116,340.0,456,1.0,0.0,0.0,0.0,0.0
117,322.0,444,6.0,0.0,0.0,0.0,0.0
118,623.0,825,4.0,0.0,0.0,0.0,0.0
