in,x,y,qc,tc,tr,te,tl
2,5166.0,1480.0,3.0,0.0,0.0,0.0,0.0
3,5403.0,1631.0,7.0,0.0,0.0,0.0,0.0
4,5030.0,1372.0,7.0,0.0,0.0,0.0,0.0
5,5469.0,1830.0,15.0,0.0,0.0,0.0,0.0
6,5495.0,1832.0,1.0,0.0,0.0,0.0,0.0
7,5394.0,1844.0,23.0,0.0,0.0,0.0,0.0
8,5403.0,1868.0,5.0,0.0,0.0,0.0,0.0
9,5415.0,1875.0,3.0,0.0,0.0,0.0,0.0
10,5426.0,1876.0,3.0,0.0,0.0,0.0,0.0
11,5440.0,1885.0,2.0,0.0,0.0,0.0,0.0
12,5451.0,1891.0,6.0,0.0,0.0,0.0,0.0
13,5457.0,1926.0,1.0,0.0,0.0,0.0,0.0
14,5365.0,1877.0,1.0,0.0,0.0,0.0,0.0
15,5350.0,1843.0,1.0,0.0,0.0,0.0,0.0
16,5322.0,1844.0,2.0,0.0,0.0,0.0,0.0
17,5342.0,1861.0,1.0,0.0,0.0,0.0,0.0
18,5325.0,1869.0,4.0,0.0,0.0,0.0,0.0
19,5302.0,1823.0,8.0,0.0,0.0,0.0,0.0
20,5284.0,1862.0,42.0,0.0,0.0,0.0,0.0
21,5382.0,1890.0,1.0,0.0,0.0,0.0,0.0
22,5385.0,1886.0,1.0,0.0,0.0,0.0,0.0
23,5376.0,1887.0,3.0,0.0,0.0,0.0,0.0
24,5372.0,1896.0,1.0,0.0,0.0,0.0,0.0
25,5374.0,1873.0,1.0,0.0,0.0,0.0,0.0
26,5377.0,1863.0,2.0,0.0,0.0,0.0,0.0
27,5372.0,1845.0,3.0,0.0,0.0,0.0,0.0
28,5365.0,1832.0,4.0,0.0,0.0,0.0,0.0
29,5365.0,1822.0,5.0,0.0,0.0,0.0,0.0
30,5355.0,1865.0,1.0,0.0,0.0,0.0,0.0
31,5401.0,1893.0,1.0,0.0,0.0,0.0,0.0
32,5456.0,1933.0,3.0,0.0,0.0,0.0,0.0
33,5614.0,1855.0,14.0,0.0,0.0,0.0,0.0
34,5636.0,1867.0,13.0,0.0,0.0,0.0,0.0
35,5610.0,1913.0,6.0,0.0,0.0,0.0,0.0
36,5592.0,1934.0,2.0,0.0,0.0,0.0,0.0
37,5644.0,1923.0,2.0,0.0,0.0,0.0,0.0
38,5694.0,1892.0,2.0,0.0,0.0,0.0,0.0
39,5709.0,1917.0,1.0,0.0,0.0,0.0,0.0
40,5697.0,1919.0,24.0,0.0,0.0,0.0,0.0
41,5725.0,1953.0,5.0,0.0,0.0,0.0,0.0
42,5657.0,1948.0,2.0,0.0,0.0,0.0,0.0
43,5673.0,1965.0,2.0,0.0,0.0,0.0,0.0
44,5683.0,1971.0,4.0,0.0,0.0,0.0,0.0
45,5674.0,1973.0,1.0,0.0,0.0,0.0,0.0
46,5712.0,1992.0,1.0,0.0,0.0,0.0,0.0
47,5651.0,1974.0,1.0,0.0,0.0,0.0,0.0
48,5663.0,1989.0,1.0,0.0,0.0,0.0,0.0
49,5680.0,2006.0,6.0,0.0,0.0,0.0,0.0
50,5114.0,1669.0,7.0,0.0,0.0,0.0,0.0
51,5143.0,1670.0,10.0,0.0,0.0,0.0,0.0
52,5176.0,1590.0,2.0,0.0,0.0,0.0,0.0
53,5222.0,1620.0,1.0,0.0,0.0,0.0,0.0
54,5224.0,1592.0,6.0,0.0,0.0,0.0,0.0
55,5232.0,1587.0,1.0,0.0,0.0,0.0,0.0
56,5214.0,1635.0,7.0,0.0,0.0,0.0,0.0
57,5234.0,1641.0,3.0,0.0,0.0,0.0,0.0
58,5211.0,1666.0,3.0,0.0,0.0,0.0,0.0
59,5190.0,1739.0,31.0,0.0,0.0,0.0,0.0
60,5217.0,1759.0,8.0,0.0,0.0,0.0,0.0
61,5249.0,1770.0,2.0,0.0,0.0,0.0,0.0
62,5254.0,1761.0,1.0,0.0,0.0,0.0,0.0
63,5281.0,1778.0,1.0,0.0,0.0,0.0,0.0
64,5278.0,1783.0,1.0,0.0,0.0,0.0,0.0
65,5301.0,1784.0,3.0,0.0,0.0,0.0,0.0
66,5306.0,1792.0,4.0,0.0,0.0,0.0,0.0
67,5333.0,1799.0,3.0,0.0,0.0,0.0,0.0
68,5342.0,1796.0,1.0,0.0,0.0,0.0,0.0
69,5337.0,1816.0,3.0,0.0,0.0,0.0,0.0
70,5288.0,1762.0,3.0,0.0,0.0,0.0,0.0
71,5306.0,1748.0,45.0,0.0,0.0,0.0,0.0
72,5291.0,1746.0,2.0,0.0,0.0,0.0,0.0
73,5282.0,1730.0,1.0,0.0,0.0,0.0,0.0
74,5264.0,1739.0,1.0,0.0,0.0,0.0,0.0
75,5264.0,1718.0,2.0,0.0,0.0,0.0,0.0
76,5253.0,1718.0,4.0,0.0,0.0,0.0,0.0
77,5240.0,1730.0,1.0,0.0,0.0,0.0,0.0
78,5242.0,1716.0,2.0,0.0,0.0,0.0,0.0
79,5198.0,1714.0,4.0,0.0,0.0,0.0,0.0
80,5225.0,1689.0,1.0,0.0,0.0,0.0,0.0
81,5245.0,1668.0,2.0,0.0,0.0,0.0,0.0
82,5263.0,1661.0,1.0,0.0,0.0,0.0,0.0
83,5259.0,1632.0,2.0,0.0,0.0,0.0,0.0
84,5242.0,1624.0,1.0,0.0,0.0,0.0,0.0
85,5252.0,1605.0,2.0,0.0,0.0,0.0,0.0
86,5245.0,1583.0,2.0,0.0,0.0,0.0,0.0
87,5265.0,1583.0,3.0,0.0,0.0,0.0,0.0
88,5287.0,1595.0,4.0,0.0,0.0,0.0,0.0
89,5271.0,1614.0,2.0,0.0,0.0,0.0,0.0
90,5286.0,1629.0,19.0,0.0,0.0,0.0,0.0
91,5277.0,1651.0,1.0,0.0,0.0,0.0,0.0
92,5310.0,1588.0,10.0,0.0,0.0,0.0,0.0
93,5319.0,1588.0,3.0,0.0,0.0,0.0,0.0
94,5330.0,1605.0,6.0,0.0,0.0,0.0,0.0
95,5360.0,1595.0,28.0,0.0,0.0,0.0,0.0
96,5343.0,1616.0,3.0,0.0,0.0,0.0,0.0
97,5329.0,1617.0,2.0,0.0,0.0,0.0,0.0
98,5355.0,1636.0,2.0,0.0,0.0,0.0,0.0
99,5340.0,1644.0,2.0,0.0,0.0,0.0,0.0
100,5310.0,1612.0,12.0,0.0,0.0,0.0,0.0
101,5302.0,1629.0,21.0,0.0,0.0,0.0,0.0
102,5317.0,1636.0,5.0,0.0,0.0,0.0,0.0
103,5301.0,1672.0,7.0,0.0,0.0,0.0,0.0
104,5270.0,1678.0,1.0,0.0,0.0,0.0,0.0
105,5291.0,1678.0,14.0,0.0,0.0,0.0,0.0
106,5289.0,1687.0,7.0,0.0,0.0,0.0,0.0
107,5296.0,1718.0,5.0,0.0,0.0,0.0,0.0
108,5331.0,1709.0,4.0,0.0,0.0,0.0,0.0
109,5334.0,1727.0,20.0,0.0,0.0,0.0,0.0
110,5357.0,1749.0,2.0,0.0,0.0,0.0,0.0
111,5344.0,1755.0,1.0,0.0,0.0,0.0,0.0
112,5365.0,1771.0,2.0,0.0,0.0,0.0,0.0
113,5379.0,1773.0,1.0,0.0,0.0,0.0,0.0
114,5387.0,1778.0,1.0,0.0,0.0,0.0,0.0
115,5401.0,1775.0,1.0,0.0,0.0,0.0,0.0
116,5411.0,1790.0,4.0,0.0,0.0,0.0,0.0
